seed,alpha,omega,n_particles,train_reps,test_reps,shape_copies,color_copies,blocked_train,reward_rule,n_colors,n_train_colors,n_test_colors,rewarded_shape,n_train,n_first_heldout,flat_train_acc,hier_train_acc,adv_train_acc,flat_first_heldout_acc,hier_first_heldout_acc,adv_first_heldout_acc,flat_heldout_shape0_acc,flat_heldout_shape1_acc,hier_heldout_shape0_acc,hier_heldout_shape1_acc,adv_heldout_shape0_acc,adv_heldout_shape1_acc,flat_train_brier,hier_train_brier,adv_train_brier_reduction,flat_heldout_brier,hier_heldout_brier,adv_heldout_brier_reduction,flat_train_logloss,hier_train_logloss,adv_train_logloss_reduction,flat_heldout_logloss,hier_heldout_logloss,adv_heldout_logloss_reduction,flat_train_shape0_mean_prob,flat_train_shape1_mean_prob,flat_train_shape_contrast,hier_train_shape0_mean_prob,hier_train_shape1_mean_prob,hier_train_shape_contrast,adv_train_shape_contrast,flat_heldout_shape0_mean_prob,flat_heldout_shape1_mean_prob,flat_heldout_shape_contrast,hier_heldout_shape0_mean_prob,hier_heldout_shape1_mean_prob,hier_heldout_shape_contrast,adv_heldout_shape_contrast,flat_train_signed_contrast,hier_train_signed_contrast,adv_train_signed_contrast,flat_heldout_signed_contrast,hier_heldout_signed_contrast,adv_heldout_signed_contrast,flat_n_clusters,hier_nodes_level_0,hier_nodes_level_1,hier_nodes_level_2,hier_nodes_level_3,hier_nodes_level_4,hier_n_levels_used,hier_total_nodes,hier_best_shape_level,hier_best_shape_separation,flat_shape_same_node,flat_shape_diff_node,flat_shape_separation,hier_shape_same_node,hier_shape_diff_node,flat_color_separation,hier_color_separation_at_shape_level,flat_all_heldout_acc,hier_all_heldout_acc,adv_all_heldout_acc,flat_all_heldout_brier,hier_all_heldout_brier,adv_all_heldout_brier_reduction,flat_all_heldout_logloss,hier_all_heldout_logloss,adv_all_heldout_logloss_reduction,flat_all_heldout_shape_contrast,hier_all_heldout_shape_contrast,adv_all_heldout_shape_contrast,hier_nodes_level_5,hier_nodes_level_6
4,0.3137870980314211,0.08214131017338326,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.5,0.525,0.025000000000000022,0.75,1.0,0.25,1.0,0.5,1.0,1.0,0.0,0.5,0.24484336522558467,0.22932945196438004,0.015513913261204632,0.2467679051715261,0.23342740863644915,0.013340496535076962,0.6648090721861708,0.610865628778366,0.05394344340780477,0.6866824142437818,0.6599802704840263,0.026702143759755548,0.018127065026682355,0.3155469083495263,-0.29741984332284394,0.04213737889862284,0.33892487429903534,-0.2967874954004125,0.0006323479224314421,0.49328299932673214,0.49982981428696166,-0.006546814960229519,0.47517761978466344,0.5090512845534745,-0.03387366476881104,-0.02732684980858152,0.29741984332284394,0.2967874954004125,-0.0006323479224314421,0.006546814960229519,0.03387366476881104,0.02732684980858152,3,1,3,2,2.0,1.0,5,9,0,0.0,0.7911392405063291,0.78484375,0.00629549050632916,1.0,1.0,0.002453007518796957,0.0,,,,,,,,,,,,,,
5,0.3137870980314211,0.08214131017338326,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.49375,0.51875,0.025000000000000022,0.75,0.75,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.2511228549492528,0.2311018384667917,0.0200210164824611,0.2475046890158286,0.24556192078745442,0.0019427682283741643,0.6903156413761008,0.6082757139898373,0.08203992738626353,0.6881557652789223,0.6842694280501627,0.00388633722875964,0.01676901378039524,0.3074163978661038,-0.29064738408570856,0.036355372040179544,0.3348001084603217,-0.2984447364201422,-0.007797352334433627,0.4977314981702255,0.5028032947114106,-0.005071796541185114,0.48994398634763714,0.49901556703689093,-0.009071580689253789,-0.003999784148068675,0.29064738408570856,0.2984447364201422,0.007797352334433627,0.005071796541185114,0.009071580689253789,0.003999784148068675,1,2,4,3,2.0,2.0,5,13,0,0.0,1.0,1.0,0.0,0.9875,0.9875,0.0,0.0,,,,,,,,,,,,,,
0,0.8418506793952317,0.26351063199027924,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.525,0.625,0.09999999999999998,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.23799944895373404,0.21834936775223493,0.01965008120149911,0.2380570619856465,0.21871748424360335,0.019339577742043146,0.6456490645485873,0.5999351028832749,0.045713961665312386,0.6692377805498694,0.6304100497297529,0.03882773082011648,0.6721378777417769,0.954306858059495,-0.2821689803177181,0.6351466062948222,0.927468838346076,-0.29232223205125374,-0.010153251733535651,0.483294281636403,0.5077954237939853,-0.024501142157582367,0.44951038395630993,0.5149421971745382,-0.06543181321822822,-0.04093067106064585,0.2821689803177181,0.29232223205125374,0.010153251733535651,0.024501142157582367,0.06543181321822822,0.04093067106064585,6,7,14,9,4.0,1.0,5,35,1,0.22087055878512252,0.4727848101265823,0.47265625,0.00012856012658229998,0.7929399367755532,0.5720693779904307,-0.007871240601503737,0.02189842147133947,,,,,,,,,,,,,,
1,0.8418506793952317,0.26351063199027924,200,10,3,6,1,1,random_balanced,10,8,2,0,160,4,0.5,0.50625,0.006249999999999978,0.25,0.5,0.25,0.5,0.0,1.0,0.0,0.5,0.0,0.2447511315050952,0.23358664007575416,0.011164491429341034,0.2515744477351102,0.2427190211728003,0.008855426562309865,0.6610599092152358,0.6295010262859878,0.03155888292924802,0.6962962090681375,0.678575798116509,0.017720410951628462,0.9575958460003996,0.6825906277325793,0.2750052182678203,0.9249990638522292,0.6633711541987328,0.26162790965349636,-0.013377308614323957,0.5010642285053384,0.5041883141928236,-0.003124085687485234,0.5173348668105434,0.5024256988303254,0.014909167980218019,0.018033253667703253,0.2750052182678203,0.26162790965349636,-0.013377308614323957,-0.003124085687485234,0.014909167980218019,0.018033253667703253,3,6,9,7,4.0,1.0,5,27,3,0.12634408602150538,0.975,0.97515625,-0.00015624999999996891,0.7096774193548387,0.5833333333333334,-8.928571428579168e-05,-0.28,,,,,,,,,,,,,,
2,0.8418506793952317,0.26351063199027924,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.50625,0.50625,0.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.24617927852603022,0.23573583489266836,0.01044344363336186,0.24814460140648786,0.24108017219981043,0.007064429206677436,0.6653791911075658,0.6351137916836723,0.030265399423893502,0.6894361077248414,0.6753044261690606,0.014131681555780817,0.04366890693754745,0.3158858771551463,-0.2722169702175989,0.08202422942959911,0.33289391145925923,-0.2508696820296601,0.021347288187938795,0.5015665229079505,0.5053123358775412,-0.003745812969590756,0.4873253799239027,0.5053592627465546,-0.018033882822651948,-0.014288069853061192,0.2722169702175989,0.2508696820296601,-0.021347288187938795,0.003745812969590756,0.018033882822651948,0.014288069853061192,2,6,10,6,5.0,1.0,5,28,3,0.08750000000000002,0.9634493670886076,0.9625,0.0009493670886076,0.3541666666666667,0.26666666666666666,-0.000535714285714306,0.40909090909090906,,,,,,,,,,,,,,
3,0.8418506793952317,0.26351063199027924,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.49375,0.525,0.03125,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.24593120521838033,0.22357498257437647,0.02235622264400386,0.24218076097319013,0.2338190062994002,0.00836175467378994,0.6694586492042379,0.600306514167731,0.06915213503650697,0.6775066847789911,0.6607693027324224,0.016737382046568716,0.041366395506019664,0.3160279170741517,-0.274661521568132,0.08607184490827527,0.35207300337892444,-0.2660011584706492,0.008660363097482804,0.49242866461172863,0.5082159692085682,-0.015787304596839524,0.48865145184587444,0.5216232617065113,-0.03297180986063686,-0.017184505263797334,0.274661521568132,0.2660011584706492,-0.008660363097482804,0.015787304596839524,0.03297180986063686,0.017184505263797334,2,5,8,9,5.0,2.0,5,29,2,0.04174979802984258,0.9875,0.9875,0.0,0.7212041884816754,0.6794543904518329,0.0,0.02851861766543018,,,,,,,,,,,,,,
4,0.8418506793952317,0.26351063199027924,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.51875,0.49375,-0.025000000000000022,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2389104612897351,0.23371274316877252,0.005197718120962563,0.24259921398416984,0.23196933276037734,0.010629881223792492,0.6406431624676274,0.6276560264675936,0.012987136000033872,0.6783437796525087,0.6570272308280987,0.02131654882441003,0.045738469989574995,0.32581895554597934,-0.28008048555640436,0.07788417218518473,0.3365174205782444,-0.2586332483930597,0.02144723716334468,0.48984747776788495,0.5047883042512773,-0.014940826483392344,0.464863950208898,0.5021949940220772,-0.037331043813179254,-0.02239021732978691,0.28008048555640436,0.2586332483930597,-0.02144723716334468,0.014940826483392344,0.037331043813179254,0.02239021732978691,4,6,8,6,4.0,2.0,5,26,2,0.007264236606563723,0.9504746835443038,0.950625,-0.0001503164556962977,0.4688026981450253,0.46153846153846156,0.00012218045112788456,-0.03576769690927217,,,,,,,,,,,,,,
5,0.8418506793952317,0.26351063199027924,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.5,0.53125,0.03125,1.0,0.5,-0.5,1.0,1.0,0.0,1.0,-1.0,0.0,0.24001468715847268,0.2250431118756116,0.014971575282861083,0.24404026997589573,0.2425289662846887,0.0015113036912070277,0.640476407557113,0.6027565357716889,0.03771987178542413,0.6812266450574251,0.6781907380475573,0.0030359070098678886,0.039338253087534206,0.3232230068778111,-0.2838847537902769,0.08035438109802331,0.3487546083274033,-0.26840022722937995,0.015484526560896938,0.4928587653372555,0.5048743104720904,-0.012015545134834937,0.5048883162312352,0.5203164938041889,-0.015428177572953672,-0.0034126324381187345,0.2838847537902769,0.26840022722937995,-0.015484526560896938,0.012015545134834937,0.015428177572953672,0.0034126324381187345,1,6,7,8,4.0,1.0,5,26,2,0.010830847601360993,1.0,1.0,0.0,0.6359189378057303,0.6250880902043693,0.0,0.005732055201703501,,,,,,,,,,,,,,
0,0.9691742782386998,0.21210323889609817,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.525,0.55,0.025000000000000022,0.75,1.0,0.25,1.0,0.5,1.0,1.0,0.0,0.5,0.24145775522456847,0.2081153563944349,0.03334239883013357,0.23742134730122558,0.2240698488425763,0.013351498458649275,0.6542792701851922,0.5586923658624008,0.09558690432279138,0.6679644039517622,0.6411910260961784,0.026773377855583758,0.6766602173902563,0.9584056216213568,-0.2817454042311005,0.6250986773137747,0.9260712880290738,-0.3009726107152991,-0.019227206484198622,0.47892012375606813,0.5047492533650701,-0.02582912960900202,0.4697304453623519,0.5234723234838485,-0.05374187812149661,-0.02791274851249459,0.2817454042311005,0.3009726107152991,0.019227206484198622,0.02582912960900202,0.05374187812149661,0.02791274851249459,4,7,9,8,5.0,1.0,5,30,3,0.7331691297208539,0.8841772151898735,0.875,0.009177215189873467,0.8045977011494253,0.07142857142857142,-0.002189849624060103,-0.14473684210526316,,,,,,,,,,,,,,
1,0.9691742782386998,0.21210323889609817,200,10,3,6,1,1,random_balanced,10,8,2,0,160,4,0.525,0.54375,0.018749999999999933,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.23906880988806867,0.223785440405059,0.015283369483009679,0.24522755141269667,0.2282450283146061,0.016982523098090563,0.6418083903891818,0.6022849314595904,0.039523458929591415,0.6835993229007714,0.6496029886121804,0.03399633428859106,0.9577947417216566,0.674518470458094,0.2832762712635626,0.9192993156158437,0.6474923361614923,0.2718069794543514,-0.01146929180921119,0.5105750682405601,0.5008827087684895,0.009692359472070589,0.5275584346356947,0.4829884112156341,0.04457002342006067,0.03487766394799008,0.2832762712635626,0.2718069794543514,-0.01146929180921119,0.009692359472070589,0.04457002342006067,0.03487766394799008,3,8,13,9,2.0,,4,32,1,0.03161352149467589,0.8036392405063291,0.803125,0.0005142405063290889,0.844997756841633,0.8133842353469571,0.004379699248120317,0.0007805530776092695,,,,,,,,,,,,,,
