seed,rewarded_shape,n_train,n_first_heldout,flat_train_acc,hier_train_acc,adv_train_acc,flat_first_heldout_acc,hier_first_heldout_acc,adv_first_heldout_acc,flat_heldout_shape0_acc,flat_heldout_shape1_acc,hier_heldout_shape0_acc,hier_heldout_shape1_acc,adv_heldout_shape0_acc,adv_heldout_shape1_acc,flat_train_brier,hier_train_brier,adv_train_brier_reduction,flat_heldout_brier,hier_heldout_brier,adv_heldout_brier_reduction,flat_train_logloss,hier_train_logloss,adv_train_logloss_reduction,flat_heldout_logloss,hier_heldout_logloss,adv_heldout_logloss_reduction,flat_train_shape0_mean_prob,flat_train_shape1_mean_prob,flat_train_shape_contrast,hier_train_shape0_mean_prob,hier_train_shape1_mean_prob,hier_train_shape_contrast,adv_train_shape_contrast,flat_heldout_shape0_mean_prob,flat_heldout_shape1_mean_prob,flat_heldout_shape_contrast,hier_heldout_shape0_mean_prob,hier_heldout_shape1_mean_prob,hier_heldout_shape_contrast,adv_heldout_shape_contrast,flat_train_signed_contrast,hier_train_signed_contrast,adv_train_signed_contrast,flat_heldout_signed_contrast,hier_heldout_signed_contrast,adv_heldout_signed_contrast,flat_n_clusters,hier_nodes_by_level,hier_best_shape_level,hier_best_shape_separation,flat_shape_same_node,flat_shape_diff_node,flat_shape_separation,hier_shape_same_node,hier_shape_diff_node,flat_color_separation,hier_color_separation_at_shape_level
10,0,80,4,0.4875,0.525,0.03750000000000003,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25275162717666155,0.20881360215813113,0.04393802501853042,0.2480634815402361,0.24410147752380884,0.003962004016427267,0.7089051651912097,0.5531223030985095,0.1557828620927002,0.6892735611065435,0.6813389696553231,0.00793459145122033,0.3080848165799591,0.034110498884140736,0.27397431769581837,0.3694622393970767,0.07084158425529496,0.2986206551417817,0.02464633744596334,0.5081026775261475,0.5041425251325162,0.003960152393631233,0.5216486267765003,0.5092725050132839,0.012376121763216341,0.008415969369585108,0.27397431769581837,0.2986206551417817,0.02464633744596334,0.003960152393631233,0.012376121763216341,0.008415969369585108,1,"{'level_0': 3, 'level_1': 4, 'level_2': 3, 'level_3': 1}",1,0.00044572884012539227,1.0,1.0,0.0,0.8926332288401254,0.8921875,0.0,-0.010436721968093643
11,0,80,4,0.5,0.5625,0.0625,0.25,1.0,0.75,0.5,0.0,1.0,1.0,0.5,1.0,0.25371275310722463,0.22165553148591566,0.03205722162130897,0.25149365431529724,0.2290085113664805,0.022485142948816733,0.6959662394171039,0.5868716696606303,0.10909456975647358,0.6961345791825246,0.6510901494268437,0.045044429755680904,0.9661583749805885,0.6935848833695593,0.2725734916110293,0.9351365898532528,0.647839136440878,0.2872974534123748,0.014723961801345498,0.5025460648673377,0.5054857270024848,-0.0029396621351471808,0.5376385540207844,0.4941554807909937,0.043483073229790725,0.046422735364937906,0.2725734916110293,0.2872974534123748,0.014723961801345498,-0.0029396621351471808,0.043483073229790725,0.046422735364937906,1,"{'level_0': 4, 'level_1': 8, 'level_2': 9, 'level_3': 4}",2,0.24316877152698047,1.0,1.0,0.0,0.3970149253731343,0.15384615384615385,0.0,-0.07734939759036141
12,0,80,4,0.5,0.5375,0.03749999999999998,0.75,1.0,0.25,1.0,0.5,1.0,1.0,0.0,0.5,0.24796356788558738,0.21939532849159749,0.02856823939398989,0.24896131928715048,0.22429987947305152,0.024661439814098962,0.6645297348710255,0.5852902048819354,0.07923952998909012,0.6910699164175347,0.641684960912892,0.049384955504642725,0.9670804060626071,0.6864782653180307,0.28060214074457646,0.9344842537152704,0.6435720900060395,0.2909121637092309,0.010310022964654442,0.5054117176003475,0.5032747620805728,0.0021369555197747747,0.5331722733543178,0.48023315750866424,0.052939115845653584,0.05080216032587881,0.28060214074457646,0.2909121637092309,0.010310022964654442,0.0021369555197747747,0.052939115845653584,0.05080216032587881,2,"{'level_0': 3, 'level_1': 5, 'level_2': 5, 'level_3': 3, 'level_4': 1}",1,0.017114592463653655,0.975,0.975,0.0,0.8971807628524047,0.880066170388751,0.0,-0.005615972812234471
13,0,80,4,0.5,0.5375,0.03749999999999998,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.2519922039210124,0.21416781833103332,0.03782438558997908,0.24715947233380967,0.2169174937658379,0.030241978567971756,0.7039054719651556,0.5700853347489703,0.13382013721618535,0.6874641553653431,0.6268327074335405,0.06063144793180264,0.9680956534062016,0.6910808196801244,0.27701483372607727,0.9352225679262991,0.6360424941843658,0.29918007374193334,0.02216524001585607,0.5091463643142191,0.5033360236246509,0.005810340689568205,0.5448901792846146,0.4760162347985628,0.06887394448605177,0.06306360379648357,0.27701483372607727,0.29918007374193334,0.02216524001585607,0.005810340689568205,0.06887394448605177,0.06306360379648357,1,"{'level_0': 3, 'level_1': 7, 'level_2': 7, 'level_3': 3, 'level_4': 1}",0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
14,0,80,4,0.5,0.5125,0.012499999999999956,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.24923895909953733,0.22725242729827205,0.02198653180126528,0.23908823243997862,0.22565297653642705,0.013435255903551574,0.6702770259432341,0.599567174407076,0.07070985153615816,0.6713174363786041,0.6443263158847705,0.026991120493833565,0.3117667192636559,0.03303449588378758,0.2787322233798683,0.34311220271772547,0.06320419359969387,0.2799080091180316,0.001175785738163293,0.5057484616327056,0.48361642506668895,0.022132036566016644,0.5076142245143892,0.456830522472648,0.05078370204174121,0.028651665475724564,0.2787322233798683,0.2799080091180316,0.001175785738163293,0.022132036566016644,0.05078370204174121,0.028651665475724564,1,"{'level_0': 4, 'level_1': 4, 'level_2': 4, 'level_3': 3}",0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
15,0,80,4,0.5,0.5125,0.012499999999999956,0.75,0.75,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.24830412003040792,0.22925933175561103,0.019044788274796887,0.24528637075524157,0.233165957840544,0.012120412914697565,0.6662838779900379,0.6099727684106024,0.056311109579435414,0.6837186926706643,0.6594531155520309,0.02426557711863342,0.3132352190816617,0.033541962962117054,0.27969325611954465,0.3409136034180456,0.06423191502245829,0.2766816883955873,-0.0030115677239573313,0.49952303489517147,0.48994113280401486,0.009581902091156613,0.5120782113208666,0.47758382571434543,0.03449438560652118,0.02491248351536457,0.27969325611954465,0.2766816883955873,-0.0030115677239573313,0.009581902091156613,0.03449438560652118,0.02491248351536457,1,"{'level_0': 4, 'level_1': 5, 'level_2': 5, 'level_3': 3, 'level_4': 1}",0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
16,0,80,4,0.5,0.5375,0.03749999999999998,0.25,1.0,0.75,0.5,0.0,1.0,1.0,0.5,1.0,0.24612414532915686,0.23000937051241238,0.016114774816744476,0.25041358696320376,0.22852825042623942,0.02188533653696434,0.6592971630488826,0.6172455499499014,0.0420516130989812,0.6939741714022232,0.6501707572782681,0.04380341412395505,0.31614208165960245,0.03399453112727065,0.2821475505323318,0.3424875232915475,0.05854371873494548,0.28394380455660206,0.0017962540242702496,0.5033016632162212,0.5040630093796334,-0.0007613461634122798,0.52118156557313,0.47720655913926724,0.04397500643386276,0.04473635259727504,0.2821475505323318,0.28394380455660206,0.0017962540242702496,-0.0007613461634122798,0.04397500643386276,0.04473635259727504,2,"{'level_0': 4, 'level_1': 4, 'level_2': 1, 'level_3': 2, 'level_4': 2}",1,0.008363355635614966,0.9288461538461539,0.925,0.0038461538461538325,0.9738805970149254,0.9655172413793104,-0.002142857142857113,-0.007261009667024698
17,0,80,4,0.5,0.5375,0.03749999999999998,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.25229733100238116,0.21675453638067946,0.03554279462170171,0.2501691658366196,0.2266114922867364,0.023557673549883168,0.687600787283831,0.5745682736461482,0.11303251363768285,0.6934856449275636,0.6463224386599289,0.047163206267634705,0.9669736728614264,0.6915896846709231,0.27538398819050336,0.9363040362645553,0.6409311058762764,0.29537293038827883,0.019988942197775472,0.4965601909460746,0.49683907105139263,-0.00027888010531801344,0.5159657891709473,0.4678979200278263,0.048067869143120945,0.04834674924843896,0.27538398819050336,0.29537293038827883,0.019988942197775472,-0.00027888010531801344,0.048067869143120945,0.04834674924843896,1,"{'level_0': 5, 'level_1': 9, 'level_2': 6, 'level_3': 5}",3,0.027777777777777776,1.0,1.0,0.0,0.1111111111111111,0.08333333333333333,0.0,-0.1
18,0,80,4,0.5,0.55,0.050000000000000044,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.25435823627802173,0.2108941546434143,0.04346408163460744,0.2530252477037471,0.2314078123825938,0.021617435321153317,0.7172897604114639,0.5609067954141915,0.15638296499727233,0.6991978944055719,0.6559318266230536,0.04326606778251829,0.966080947229392,0.6943867257719246,0.27169422145746736,0.9352466304028034,0.631530218654258,0.30371641174854547,0.03202219029107811,0.4945455437531425,0.5005659650298246,-0.00602042127668212,0.5240993167088489,0.48603103311108353,0.03806828359776537,0.04408870487444749,0.27169422145746736,0.30371641174854547,0.03202219029107811,-0.00602042127668212,0.03806828359776537,0.04408870487444749,1,"{'level_0': 2, 'level_1': 3, 'level_2': 2, 'level_3': 1}",0,0.0,1.0,1.0,0.0,0.975,0.975,0.0,0.0
19,0,80,4,0.4875,0.525,0.03750000000000003,0.75,1.0,0.25,1.0,0.5,1.0,1.0,0.0,0.5,0.2529514345711399,0.22375007117116147,0.02920136339997842,0.2458231051371415,0.23416308223993085,0.011660022897210659,0.7214601455696305,0.5935343503479071,0.12792579522172332,0.6847924554208473,0.6614484238396919,0.02334403158115539,0.30815842531093945,0.03498733355401411,0.27317109175692533,0.34895891451253247,0.06398000462311333,0.28497890988941915,0.01180781813249382,0.5070195945230352,0.49859181992532364,0.008427774597711601,0.5059656256059639,0.47353580522010374,0.032429820385860175,0.024002045788148574,0.27317109175692533,0.28497890988941915,0.01180781813249382,0.008427774597711601,0.032429820385860175,0.024002045788148574,1,"{'level_0': 3, 'level_1': 7, 'level_2': 5, 'level_3': 2}",0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
